iter	Passed	Remaining
0	78	78547
1	83	41763
2	87	29179
3	92	22927
4	94	18767
5	95	15898
6	100	14260
7	102	12659
8	103	11424
9	105	10433
10	108	9768
11	110	9068
12	111	8458
13	113	8019
14	115	7601
15	117	7204
16	118	6858
17	119	6545
18	122	6326
19	123	6074
20	125	5868
21	129	5750
22	131	5575
23	132	5394
24	134	5226
25	136	5126
26	138	5003
27	140	4875
28	142	4758
29	144	4671
30	145	4558
31	151	4572
32	154	4525
33	156	4439
34	157	4350
35	159	4263
36	160	4189
37	167	4250
38	170	4192
39	171	4127
40	173	4057
41	174	3986
42	176	3933
43	182	3957
44	183	3902
45	185	3842
46	187	3793
47	189	3758
48	190	3706
49	195	3722
50	197	3683
51	199	3638
52	201	3591
53	202	3545
54	204	3520
55	206	3481
56	211	3491
57	213	3467
58	215	3430
59	216	3396
60	218	3357
61	220	3330
62	221	3297
63	227	3334
64	229	3303
65	231	3273
66	232	3240
67	234	3210
68	236	3187
69	242	3218
70	244	3195
71	246	3171
72	247	3143
73	248	3115
74	250	3088
75	251	3061
76	257	3092
77	259	3068
78	261	3045
79	262	3024
80	264	2998
81	265	2973
82	267	2949
83	272	2971
84	274	2952
85	275	2933
86	277	2911
87	278	2890
88	280	2872
89	282	2854
90	287	2870
91	290	2866
92	292	2847
93	293	2828
94	297	2831
95	302	2852
96	304	2834
97	306	2822
98	308	2806
99	309	2789
100	311	2770
101	312	2754
102	318	2771
103	319	2754
104	321	2737
105	322	2722
106	324	2707
107	325	2689
108	326	2672
109	328	2655
110	329	2639
111	334	2653
112	336	2642
113	338	2627
114	339	2611
115	340	2595
116	341	2580
117	343	2565
118	344	2553
119	350	2573
120	353	2564
121	354	2554
122	356	2543
123	358	2531
124	359	2518
125	366	2539
126	367	2528
127	371	2532
128	374	2527
129	376	2518
130	380	2521
131	382	2515
132	386	2520
133	390	2521
134	391	2506
135	392	2493
136	394	2482
137	395	2470
138	397	2460
139	398	2448
140	400	2441
141	401	2425
142	405	2432
143	408	2430
144	410	2419
145	412	2411
146	413	2397
147	414	2388
148	416	2377
149	417	2366
150	421	2367
151	422	2356
152	424	2348
153	425	2337
154	426	2327
155	427	2313
156	429	2304
157	431	2297
158	432	2287
159	433	2273
160	436	2275
161	443	2293
162	445	2288
163	447	2279
164	448	2270
165	452	2271
166	456	2278
167	458	2272
168	460	2264
169	461	2251
170	462	2240
171	463	2231
172	465	2223
173	466	2215
174	469	2211
175	471	2209
176	472	2199
177	474	2192
178	477	2189
179	480	2191
180	484	2194
181	487	2192
182	490	2188
183	491	2178
184	492	2169
185	496	2174
186	499	2170
187	503	2176
188	505	2168
189	507	2161
190	508	2152
191	512	2157
192	519	2170
193	520	2160
